,body_injury,NARRATIVE,split
118,extremities, employee tendon wear injure cone remember trip minute crane state site coupler tibia bottom lower doctor frozen,train
119,extremities, operate machine occur unload hospital ridge,train
120,extremities, instal old hang get come haul shove shoveling register control scraper,train
121,extremities, position edge stitch old muscle notice auger chuck comp rear split stiche alongside incline,train
122,extremities, rock cause ligament strike guard board center weight loose apply mover prevent roller,train
123,extremities, pull tendon foot dump stull haul finish spot contact,train
124,extremities, jackleg rock ankle ligament course remember restroom suture remainder say equip plant buggy contiue gator sit,train
125,extremities, employee left tendon hammer lbsledge area trip rake separation vehicle band drop flight hammermill,train
126,extremities, low position guard laceration left groin attempt long slope accident,train
127,extremities, ligament strike pull home plank remember clear roll,train
128,extremities, operator left help foot miner go fail reg personnel house elbow receive need employer location timber bohringer act installation proficiency row training unsafe catwalk,train
129,extremities, stitch lift ductwork register er dinjury hich apparently evaluation maintenance,train
130,extremities, ankle hyper require step injure operate fill trip impede reg leave lbs floatation medication persistent provide restrictive valve,train
131,extremities, rock course help lbsledge plank tire bad clinker,train
132,extremities, require plank crusher hoist go mining profiency draw decline panel laterally comealong underneath ed exact history know problem stacker,train
133,extremities, rock left tendon course old lbsledge komatsu lodge sledge trailer ride,train
134,extremities, week plank counter curtain face avoid ambulance level offer unit amputation gloved got partial structure,train
135,extremities, pull plank hang come ramp car bump back investigation troughing,train
136,extremities, guard course lbsledge hurry landing wipe,train
137,extremities, grab sediment cleanoff heavy slightly doctor fork monorail reoccurance,train
138,extremities, plus edge bridge injure roadway operate foot remember fill get miner fail impede loose indicate wheeler hard dinjury rubber wing acetylene ball flash multiple,train
139,extremities, silos inspection contiue oxy sump torch,train
140,extremities, instal result frame supervisor pit attempt post wheel hp drift ytruck,train
141,extremities, fall possible pull tendon center hang wash angle comp breaker create,train
142,extremities, jackleg rock result step lbsledge remember get check impede chip lodge personnel tibia comp valve gear haulage muck mucker neutral hopper inj stack,train
143,extremities, cause guard left pull dump pin long align unplug building culvert drain,train
144,extremities, employee tendon come knowledge car mill,train
145,extremities, rock home lbsledge raise wa long loose office storm perform air blow dry,train
146,extremities, rock cause low position lbsledge raise attempt ring lean pile,train
147,extremities, cause guard left pull form cavity komatsu main hook gun,train
148,extremities, employee strike laceration reach injure clearly back state contest muddy sunny,train
149,extremities, strike laceration treatment frame groin hang bit lose draw ibuprofen jump inspection lbs contact windy project sledgehammer bench block chisel,train
150,extremities, rock cause position strike left pull forearm strain lbsledge remember cat,train
151,extremities, strike lbsledge fill impede roll hurry,train
152,extremities, cause ligament conduit pull course forklift suffer conveyor jump take metel thumb inadvertantly sandstone,train
153,extremities, jackleg hyper ligament low position attempt enter boom man drift comp valve mash,train
154,extremities, jackleg cause hyper strike instal laceration left reach center hang attempt minute wash man hook,train
155,extremities, fall jackleg reach result tendon hang level tweeke,train
156,extremities, rock frame hoist raise suffer bed reject tool rachet poor know simply wrong adjust champ,train
157,extremities, fall position glove repair center awareness ramp place bump wash freely large mast removinga bay,train
158,extremities, strike shoulder hang come treat jump main back nd cutoff bruise bursting chest,train
159,extremities, employee snow board person curtain am main cleanoff opening calf lump ope partially rator ricochetting trim,train
160,extremities, pull result board hang raise am clear move back friday up windshield nut attention,train
161,extremities, laceration left pull repair wear remember stull haul knock ring pile conduct contact seek,train
162,extremities, rock position left slip remember forklift supervisor take main,train
163,extremities, glove board lbsledge groin dump check restroom metel skidster eye glance bounce hook mucker shop wheelbarrow fal find jabko ling outby size taper park service dragline,train
164,extremities, jackleg electrical require tendon leave impact jean sensation,train
165,extremities, hyper instal pull repair haul suffer insert restroom remainder ally contest site strained monorail shourd shroud,train
166,extremities, rock ligament tendon course mri,train
167,extremities, dump curtain pit approximately avoid level tweeke plastic sand screw broken colar,train
168,extremities, jackleg cause hyper result tendon care counter man excavator rachet restrictive,train
169,extremities, tendon wet care lbsledge rule wheel parking,train
170,extremities, low wet lbsledge trip attempt dipper shaft er column condition crawl,train
171,extremities, counter steel miner supervisor komatsu tooth timberhead crane back wheeler lot hook fire unplug nut diesel lay pulley prepare twisting,train
172,extremities, jackleg cause position left raise apply wheel vulcanize,train
173,extremities, occur unload,train
174,extremities, rock position strike tendon pt lbsledge fill supervisor enter knock bed grinder april claim,train
175,extremities, rock possible strike guard lbsledge omega opening overhead stick diabetic,train
176,extremities, jackleg glove laceration result plank hang pallet raise bucket lean main refuel stationary early exam,train
177,extremities, rock require care shoulder hang long roll pad believe hurry angle troughing,train
178,extremities, fall cause ligament strike laceration pull return hoist knuckle install try provider,train
179,extremities, left loader duty clear supervisor walkway throw jib faint appear change grinder calf finally up mash file infection inform payment remain adjusting workman,train
180,extremities, work course lbsledge fill walk ring free post fender comealong rachet know allow bell,train
181,extremities, ankle make plus conduit accidentally center operate travel tire clear muscle remove monoxide replace meet tighten exit crank great hooked slack toe note bicep,train
182,extremities, pull regular lbsledge put methane finally embed handed puncture sprocket,train
183,extremities, plank counter crusher remember forklift methane miss cavity ductwork minute usually back concrete begin floatation the vein was battery high loopof,train
184,extremities, cause position strike wear monoxide adjust slag voltage handrail,train
185,extremities, jackleg glove laceration reach course lbsledge sediment wheel past product give housing,train
186,extremities, jackleg position result plank groin forklift factor komatsu leave slope report backwards damaged outpatient hoe loosen track vibration new roofbolter tangle dhit,train
187,extremities, position guard result duty week frame separation notice skin comp was drawrock dome lost pulled restriction,train
188,extremities, fall guard tendon operate clearly trip hoist methane impede remainder morning object tanker,train
189,extremities, strike instal require center weight raise insert attempt alongside debris awkwardly,train
190,extremities, make position clear muscle monoxide site past contact trailer great dip evidently originally worsen popping,train
191,extremities, fall cause hyper conduit instal dr hang raise continue man,train
192,extremities, arm jib brattice build flag,train
193,extremities, rail chuck adjusting horn light ram,train
194,extremities, reach result slip tendon advise counter weight remember scissor insert chip bump hospital sound tree,train
195,extremities, cause low lbsledge methane lose rt comp pumt reset,train
196,extremities, jackleg rock guard regular lbsledge remember unplug spool,train
197,extremities, strike edge help come pit knock reject draw separation contest register hard develop refuel welder amp decide deck descend egotiated,train
198,extremities, jackleg rock ligament tendon cone groin dump hurried,train
199,extremities, require result accidentally step snow am check shove completely tighten tank troughing loading microsizer,train
200,extremities, strike left require check impede shove jib fender mast,train
201,extremities, frame miss knock grating portable suture say barge equip footing profiency jump usually transport gallon sit roofbolter mis east hot leak leaky,train
202,extremities, jackleg rock position strike operate fill trip face ring er outby ore roaster,train
203,extremities, jackleg employee reach plank bucket tooth transport exit accident exact taper malfunction moderate road,train
204,extremities, ankle board operate dump get guear ring swell finish register mot hard laterally report handhold haulage soreness rom abrasion accord,train
205,extremities, hyper job counter forklift fill curtain impede water leave blower bruising ct,train
206,extremities, fall jackleg rock hyper tendon course lbsledge,train
207,extremities, bolt slippery snow frame weight hang masonry go supervisor allege ramp draw leave decline seat poor pulley external internal scan,train
208,extremities, require bridge come pit move car site st rachet finally muck adjusting show visible asphalt sheave alarm,train
209,extremities, strike result old ground counter containment walkway shove ibuprofen grind post contest leave dredge coal comp was emplo enclosure locate packing pumpman reportable,train
210,extremities, reach require center equipment remainder wash apply post contest vent scraper perform adjust hurried troubleshoot yee set numb prybar scrubber,train
211,extremities, cause suffer roll metel finish opening welder column,train
212,extremities, rock position possible pull strain frame cavity angle waist trune,train
213,extremities, dr bridge hang clearly trip bracket er wagon indide nt primary,train
214,extremities, rock cause ligament guard laceration tendon right course lbsledge roadway operate raise emp want,train
215,extremities, hyper strike glove hang curtain shove indicate aprox bring cervical helmet,train
216,extremities, nail hang come knowledge car rake initial tip ok,train
217,extremities, position laceration tendon forearm weight notice transport second unresponsive,train
218,extremities, fall instal tendon open main,train
219,extremities, plus conduit require dr foot bracket concussion force hurt free meet welding grade,train
220,extremities, result course section uneven frame steel get remainder loose dead mechanical reduce apply pedal coupler slope ratchet comp ytruck steep skid steer tread additional hour,train
221,extremities, rock cause ligament laceration result remainder slope,train
222,extremities, hyper ligament make strike left duty lbsledge scissor get haul muscle joint grip was deck vacuum tee ventilation,train
223,extremities, reach require care counter roll hurry landing knife pocket,train
224,extremities, jackleg rock cause strike laceration pull require result hang come bump hospital hard repeat comp,train
225,extremities, jackleg rock guard course forearm lbsledge roadway operate bracket restrict carbon tighten acid coat management rash,train
226,extremities, cause hyper come reinstall ramp reject site hard stearic,train
227,extremities, ligament laceration left frame indicate er hook visit,train
228,extremities, laceration hang curtain come raise ramp process reject draw shove wash calf contact mash,train
229,extremities, employee put bed minute lot dig card corneal point poke prescription sedentary ramcar degree,train
230,extremities, strike sustain pull reach hang am test deere ear thermocouple,train
231,extremities, electrical laceration old counter level inadvertantly cont,train
232,extremities, laceration require care raise supervisor main register balance cutoff stationary ope exam helper hurridly,train
233,extremities, electrical hoist fender meniscus,train
234,extremities, jackleg cause strike reach counter ramp remainder wash site strap,train
235,extremities, left tendon dr hang develop er tail think,train
236,extremities, jackleg hyper instal trip curtain bar come insert attempt restrict bump loose drill wash contest awkwardly stearic torn,train
237,extremities, ligament guard regular put komatsu finally continuous dec,train
238,extremities, position pull tendon lbsledge raise roll landing direction,train
239,extremities, regular week lbsledge put omega test grafting,train
240,extremities, rock grab guard laceration left advise lbsledge am hospital near prevent inger lever pan,train
241,extremities, ligament strike guard pull dr bridge clearly fill trip tighten hook consider dismantle motion,train
242,extremities, tendon forearm hernia hang main cutoff handrail,train
243,extremities, rock guard pull step injure face loaded column act unsafe planking restricted scaffold little,train
244,extremities, cause hyper ligament reach dispose,train
245,extremities, reinstall shove radio wide platform floatation floater buddy,train
246,extremities, hyper strike result ee lt install hurry level simply plastic ie,train
247,extremities, hyper instal laceration left pull hang come ready haul grate move hook accord,train
248,extremities, rock position strike guard lbsledge check supervisor bump throw main lack,train
249,extremities, ligament plus sustain conduit edge result stitch plank operate forklift weld get cleanoff back rachet finally apparently restrictive exact ore visible lumbar,train
250,extremities, jackleg cause position possible instal injure clearly insert sediment minute manu angle dislodge suspension,train
251,extremities, bolt rock hyper ligament position strike left care board reg loose finish hill tibia angle mud extension ask numbness,train
252,extremities, wet loader step wrench site landing additional ear bolting round lock self smash trash,train
253,extremities, cause tendon hang long poor reportable,train
254,extremities, ligament left remember time methane long bump eye aggregate slope hook swivel floatation scaffold diagnosis involve preliminary,train
255,extremities, glove forklift stull haul cavity rule jib charger strained slide mobile steering suspect slick sraine bundle,train
256,extremities, laceration repair haul sledge shoveling begin provider exact colar ear round flip prime shut spray crush lance merrick,train
257,extremities, crusher timberhead crane dredge hook mark barn,train
258,extremities, fall employee strike glove lbsledge methane impede piece loose leave chuck wc cowl cross hematoma severe,train
259,extremities, hand position laceration reach care course leave decline grinder doublejack coupling chipping,train
260,extremities, cause lubrication tendon week hang contest radio bounce floatation accidently trigger washer,train
261,extremities, ramp attempt dead boom contest grinder close wide up collapse entry overcast abdominal,train
262,extremities, position strike pull operate hang ring dipper hospital auger doublejack roller,train
263,extremities, position edge left stitch ee groin swell cleanoff hospital angle jackhammer short testicle company kneale lacertation,train
264,extremities, jackleg rock ligament guard tendon course taper build,train
265,extremities, slip tendon hang scissor footing shove metel contest dig overhead communication rator sound soreness card razor recieve spare stab utility abate,train
266,extremities, instal reach result tendon center help curtain get clean draw wash suddenly knot engine alongside mover muck lock citation,train
267,extremities, guard tendon wet move reject open transport powerscreen knot poor ytruck,train
268,extremities, ligament operator possible guard operate get remove long slope mount stack ope attention event wrap rough spreader terrain drip irritated,train
269,extremities, position electrical pull old lbsledge forklift impede metel recieve slurry extinguisher investigate,train
270,extremities, strike old put foot forklift fill travel bracket impede physical occur unload transport hard sound recieve fleet forward mechanic straight straighten,train
271,extremities, employee strike pull dr strain bridge raise tooth crane ibuprofen tension,train
272,extremities, employee strike laceration scissor muscle joint main co radio object final impactor,train
273,extremities, ee curtain slab clean bucket lt restrict landing flagstone connector contact direction stab slurry inch,train
274,extremities, help lbsledge operate remember face tire ring roll skidster hook placement plug,train
275,extremities, ligament pull tendon wet right care forearm cat fire want,train
276,extremities, jackleg employee hyper left slip weight raise attempt bucket bump crane dead angle handrail staircase wabco,train
277,extremities, fall position plank cone crusher dump curtain good material avoid ibuprofen on back exact restriction utility fuse,train
278,extremities, pull tendon lbsledge come car investigation stem project,train
279,extremities, instal week hang muscle fly separation jib strained floatation ie fusing pip,train
280,extremities, bridge injure lbsledge remember fill hoist come face impede chip stem thumb floatation mast tee poly die crossing,train
281,extremities, cause hyper reach plank hang bump contest grinder shield shile,train
282,extremities, slippery advise nail pound roof footing task pile swell charger tube window dig soreness pan tailgate apron automatically betweenthe hadcome photo sideways,train
283,extremities, laceration old ambulance angle steep coat betweenthe,train
284,extremities, accidentally bridge fill pin impede pit continue try stem begin finally unsafe restricted th feed bank,train
285,extremities, rock electrical left right forearm lbsledge buggy spool stearic boat corporate dumpster garbage,train
286,extremities, damage slippery step forearm foot scissor slab tire impede cable line reject mot buggy near akwardly kelly have normal,train
287,extremities, ligament position advise week remember hang piece chip task material shove metel indicate unplug slurry pcs,train
288,extremities, possible guard pull board crusher loose begin turn exit waterline possibly,train
289,extremities, hyper position laceration pull hoist piece move material main ft corner radio block size dresser,train
290,extremities, jackleg rock course lbsledge operate trip bracket ring dipper floater rupture sleeve,train
291,extremities, low wet lift jump glass un ft panel change slope smash collapse tug straddle,train
292,extremities, glove treatment nail remainder jib tighten receive ope watch access accommodate unable barrel,train
293,extremities, employee care cavity avoid fourth mover sump management tailgate cool weigh heslippe pavement,train
294,extremities, make center nail trip cavity muscle wheel tugging opening comealong oil dig grip trailer storm battery stearic sludge shooter shotcrete,train
295,extremities, position instal strain task knuckle roll finish hospital grinder angle poor contact haulage vibration restriction confine signal,train
296,extremities, jackleg cause reach hang avoid contest site pedal knot scraper,train
297,extremities, put miner wa bend register hurry landing tool angle provider mast tangle lacertation sudden tight,train
298,extremities, guard pull right bucket rachet accept abrasion packing want flow injred loop manbasket,train
299,extremities, glove miss swell wheel apart grinder calf comp card meter nippl nipple partner lip,train
300,extremities, make pull reach plank footing timberhead task grinder ct ok operater generator bus,train
301,extremities, employee result raise dipper volvo connector rator determine midrail misjudge rung,train
302,extremities, fall rock position strike electrical lbsledge shoulder material back concrete begin brick apparent reason,train
303,extremities, jackleg cause hyper laceration reach tire draw contest knot laterally man up bruised,train
304,extremities, counter move avoid concrete level begin casually inadvertantly waist ie final brick boulder,train
305,extremities, jackleg plus result slip tendon hang dump hoist awareness shoveling avoid ray window multiple mast cought sort berm follow,train
306,extremities, counter hoist clear enter physical attention ear tow temporary cathode cell copper,train
307,extremities, fall rock position strike pull lbsledge section uneven fill bracket impede reject metel troughing harvesting,train
308,extremities, guard regular lbsledge bracket hoist weld allege slide hook strongback wedge part discharge pant heat,train
309,extremities, tear knuckle leave nd product build wabco al,train
310,extremities, pull slippery stretching lbsledge get miss tire coil drill metel heavy connect buggy near management harvesting brace,train
311,extremities, employee hoist grating portable restroom suture remainder say barge dring equip footing profiency ring timberhead wide sit east nt,train
312,extremities, glove slippery dr week lbsledge plank komatsu panel radio inner piping,train
313,extremities, fall rock ligament course center,train
314,extremities, ligament strike lift center help face go am coil loose chute electric corner hook dozer hopper spool manbasket resist rust sleeved smoothly wench pl drag,train
315,extremities, bolt counter reject bump avoid metel pipe knot tibia ball tractor crib crawler reomove asthma,train
316,extremities, require step cement old bracket hoist tire water personnel bump handle occur skidster unload site buggy hook ball housing grade planking pant attack collide commute,train
317,extremities, plus sustain conduit guard instal repair bridge lbsledge operate remember trip miner reg enter timberhead main hurry wheeler excavator windy akwardly median pole jaw mat clavicle,train
318,extremities, jackleg glove laceration duty old injure clearly ring ally boom comp removinga exam tight conveyer cracked quit sore spill burner garage inflict,train
319,extremities, fall plus sustain conduit care lbsledge trip get impede water apply cat er welder chisel collide wand cheater pressure bac,train
320,extremities, rock twist lbsledge remember clearly explosion take creek elswick,train
321,extremities, hand require course miner cat bounce floatation condition ct think roadcreek suction hollow okay,train
322,extremities, edge laceration left curtain ramp attempt remainder draw material expand contest slope up hammermill mast spool entry,train
323,extremities, rock ligament possible regular wash pad duster,train
324,extremities, foot raise brake contact sandstone wabco,train
325,extremities, employee ligament strike snow raise bucket komatsu nd floatation citation,train
326,extremities, jackleg cause left reach suffer attempt cloth,train
327,extremities, jackleg rock ligament edge course dr bridge remember get tire local continue handle ibuprofen buggy flinger,train
328,extremities, cause pull forearm remember ductwork post,train
329,extremities, hang pipe vent lbs contact file radiator case,train
330,extremities, hyper position possible nail curtain am awareness equipment hill fire drift mud ct spiral,train
331,extremities, reach result crusher pit komatsu timberhead bump main rachet report floatation restrictive gate,train
332,extremities, jackleg ligament position glove course slab insert supervisor back hp hook storm spool grasp,train
333,extremities, strike bridge counter foot fill methane check impede containment shove back run bench external recommend,train
334,extremities, reach ee methane pit komatsu move avoid un level plastic screw refuse,train
335,extremities, pull old masonry miner bucket sledge metel install wheeler rachet up comp trailer knife think pcs harvesting surgeon toi verbally initially manual request,train
336,extremities, damage ligament advise course dr tendonitis remember forklift pallet hoist fail reduce mucker gantry snubber channel channelsteel,train
337,extremities, reach crusher foot remember thumb grizzly incapactitate,val
338,extremities, tendon dr foot fill impede level disassemble tweeke asthma,val
339,extremities, reach result ready ramp pit move reject eye level door girder ed partial inadvertantly vibration card spasm,val
340,extremities, plank go tire clear knowledge grate ring dipper fender connect buggy management heslippe manbasket railcar hydraulic,val
341,extremities, accidentally hang hoist raise komatsu remove pipe finally hook pumt scaffold shuttle,val
342,extremities, nail rail roll apply eye stuck hospital relate charger mot tibia angle drift pulley bell card quit travelway abdomen crew mid scrap square acl mcl unknown,val
343,extremities, fall care dr board injure lbsledge move line loose jib jump post hospital monoxide heavy opening bottom bounce amputation ball heslippe technique intot van body community daviess hardhat,val
344,extremities, fall result haul reg bump jib back post contest site level knot alongside rator fusing legsstayed,val
345,extremities, board lbsledge time masonry raise ring deere drift floatation nt negative stretcher,val
346,extremities, ligament position care clearly bed state angle relay frozen tr bottle,val
347,extremities, rock electrical guard lbsledge bump end machine hook refuel elswick oxygen excuse,val
348,extremities, jackleg dr injure hang drug fail lose remainder draw bump install contest site knot radio floatation tangle build attempe anchor,val
349,extremities, hyper pull operate frame hang scissor come material handhold ice scraper sandstone ventilation follow castable jack refractory flush,val
350,extremities, rock ligament guard course hernia miner manu ongoing,val
351,extremities, hyper strike pull slippery hang come ramp komatsu reject car round,val
352,extremities, position strike weight groin raise insert bump bend rt finally unchoke hair,val
353,extremities, rock cause pull grate emp angle recieve,val
354,extremities, position accidentally drive hang methane drug avoid install dozer additional impactor heater ignite pilot,val
355,extremities, jackleg cause instal rt strap,val
356,extremities, jackleg tendon step lbsledge crusher hoist restrict light propane,val
357,extremities, guard laceration pull course lbsledge fill hoist main cat tangle packing relief,val
358,extremities, strike left pull hang car hatch poor ram visible,val
359,extremities, pull course dr bridge lbsledge reinstall reduce begin powerscreen kiln act unsafe brattice enclosure singe,val
360,extremities, operator strike conduit left reach strain reinstall suffer walk chip hose post faint rt rachet receive know haulage lock reportabe fairchild hew pothole ton,val
361,extremities, rock ligament regular grate trk,val
