,split,words,ents
13,train,"alleged incident was supposed to occur while employee was walking along the 1 west belt . he said he tripped over a large rock and sprained knee ; cause of injury -- unawareness . miner proficiency  a factor ; compliance with , protective equipment , mining equipment/systems not factors .",o o o o o o o b-person/employee o b-activity/walking o o o o o o o o o o o o o o o o b-body_part/leg/knee o o o b-injury o o o o o  o o o o rules o o b-equipment o o o o o o
14,train,employee was on top of a rail . lifted the mat so they can move the car .,b-person/employee o o o o o car o o o o o o o o o b-vehicle/light_vehicle/car o
15,train,employee was pulling a 6 ' roof bolt out of a stack of roof bolts . in the process he strained his right shoulder .,b-person/employee o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/shoulder/right_shoulder i-body_part/arm/shoulder/right_shoulder o
16,train,"alimak raise , bolting after blasting round - just got collared when rock size of baseball came down hitting between glove and arm guard .",o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm o o
17,train,"employee was checking center line when a rock fell from overhead striking him on the head and shoulder . he went to the local emergency room where he was examined , x-rayed and given a full return to work release . employee continued to experience pain and became a lost time as of july 13 , 2004 .",b-person/employee o o o o o o o o o o o o o o b-body_part/head o b-body_part/arm/shoulder o o o o o o o o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o o o o o o
18,train,"the discharge screen deck on number 6 tertiary crusher caught on fire during a plant start after a scheduled fine crusher shutdown . after an initial attempt to put out the fire , the local fire department was called and the fire was out by 5:30 pm . no injuries were sustained .",o o o o o o o o b-equipment/mechanical_equipment/crusher o o o o o o up o o o o b-equipment/mechanical_equipment/crusher o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
19,train,"the employee reported lower back pain attributed to many years of operating equipment and jacklegs . the case was under review for workman's compensation through the rest of 2005. on january 16 , 2006 the company received documentation that the case had been accepted as an occupational illness .",o b-person/employee o b-body_part/back/lower_back i-body_part/back/lower_back o o o o o o o b-equipment o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
20,train,the employee was installing a new motor panel . he and his work partners were lifting the panel into place when it slipped and struck him just above his hair line . he was taken to the emergency where he received several stitches to close the cut .,o b-person/employee o o o o control o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o room o o o o o o o o o o
21,train,"while loading three new conveyor onto a semi trailer the 3rd conveyor swayed and bumped the two loaded conveyor 50 ' causing them both to slide off the semitrailer . employee , other , and another were standing on the catwalks of the first two conveyor that were loaded . as the conveyors fell the employee fell with them , striking employee and other in the chest area and bruising another arm .",o o o o b-equipment/mechanical_equipment/conveyor o o o o o o b-equipment/mechanical_equipment/conveyor o o o o o o b-equipment/mechanical_equipment/conveyor o o o o o o o o o o o b-person/employee o o o o o o o o o o o o o o b-equipment/mechanical_equipment/conveyor o o o o o o o o o b-person/employee o o o o o b-person/employee o o o o b-body_part/body/chest o o o o b-body_part/arm o
22,train,broken side cutter was removed from demag bucket with welding truck crane . hook-on cable got welded in point sheave . welding partner lowered winch causing slack on the reel . employee yanked on broken piece which came down on his finger because of slack .,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o o o o
23,train,"while cutting and grinding plates for a grizzly a metal flake became airborne and enter the left eye of our employee , requiring medical treatment to remove . the injury left no permanent impairment to the eye and employee returned to work after one days absence .",o o o o o o o o o o o o o o o o b-body_part/head/eye/left_eye i-body_part/head/eye/left_eye o o b-person/employee o o o o o o o o b-injury o o o o o o b-body_part/head/eye o b-person/employee o o o o o o o o
24,train,"employee stated that he was in the process of roof bolting the face of the number 2 entry on the number 1 unit . while pulling the drill steels back out of the roof , one of the drill steel sections stayed in the mine roof . while the employee was placing drill steel sections in the roof bolter's tray , the steel that had stayed in the roof fell out striking the employee's finger on his left hand .",b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/back o o o o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/hand/left_hand i-body_part/arm/hand/left_hand o
25,train,"this report is being completed in protest as the alleged accident did no occur on mine property . this report is only being completed to avoid a citation . the injured took a work statement to the foreman's home . lester did not come to the mine site . no witnesses can be found . per call , employee was getting out of scoop , slipped and hurt back",o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o
26,train,injured party was walking on a belt when he slipped and fell backwards striking his left shoulder . did not miss any work until 1/24/07 . this accident happened on 10/23/06 . the doctor did not do anything to him and he did not miss any work . missed his 1st day of work on 1/24/07 .,o o o b-activity/walking o o o o o o o o o o o b-body_part/arm/shoulder/left_shoulder i-body_part/arm/shoulder/left_shoulder o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
27,train,"employee was cleaning preheater riser duct . some of the material blew back , hit employee's face shield , and got under the collar of employee's personal , causing a burn on employee's collar bone . first aid was administered , employee was taken to other for medical evaluation , where employee was giving a prescription for silvadene and advice to keep wound clean dry and covered - returned to regular duty . medical treatment .",b-person/employee o o o o o o o o o o o b-body_part/back o o o o o o o o o o o o o protective o o o b-injury/burn o o o o o o o o o o b-person/employee o o o medical o o o o o b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o
28,train,employee was trying to pry a rock out of the `` jaw '' when another rock rolled and hit employee's left wrist .,b-person/employee o o o o o o o o o o o o o o o o o o o b-body_part/arm/wrist/left_wrist i-body_part/arm/wrist/left_wrist o
29,train,"roof fall at number 2 entry , cross-cut number 89 on the 3-left headgate . 8 ' tr bolts with 12 ' cable bolts in intersection . fall did not cause injury , property damage , affect ventilation , or impede travel .",o b-accident_cause/fall o o o o o o o o o o o o o o o o o o o o o o o o o b-accident_cause/fall o o o b-injury o o o o o o o o o o o
30,train,roof fall in number 5 entry 1 cross-cut inby spad # 7150. fall was 20 ' x 20 ' x 48 '' . no injuries occurred .,o b-accident_cause/fall o o o o o o o o o o b-accident_cause/fall o o o o o o o o o o o o o o
31,train,employee was swinging a 12 pound hammer to remove the main shaft from a water pump when he received a partial tear of his right biceps tendon .,b-person/employee o o o o o o o o o o o o o o b-equipment/mechanical_equipment/pump o o o o o o o o o o o o
32,train,employee went to the iron tank area to see why dust was leaking to the ground . he noticed a hole the screw housing where a pipe had fallen off . screw grabbed and turned the belt . employee's thumb got pinched between the guard and screw cover .,b-person/employee o o o o o o o o o o o o o o o o o o o in o o o o o b-equipment/pipe o o o o o o o o o o o o b-body_part/arm/hand/thumb o o o o o o o o o
33,train,employee was changing cutting bits on a piece of equipment . he was using an 8 lb hammer to release the retaining pin . a metal fragment chipped off the pin and struck his low abdomen . he was taken to a clinic and the fragment was partially removed . the remaining portion was left in place due to doctor's recommendation .,b-person/employee o o o o o o o o b-equipment o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
34,train,"roof fall in the intersection of number 6 entry , one cross-cut out by spad # 8205. fall was 50' ' . no injuries or equipment involved .",o b-accident_cause/fall o o o o o o o o o o o o o o o b-accident_cause/fall o x o o o o o b-equipment o o
35,train,employee had a chemical burn on his right foot from wearing boots that had holes and walking through water near the construction of a cement paste wall . he continued to work for several hours before seeking first aid treatment on site . on 11/30/2004 the company received a medical bill for additional treatment for the foot - debridement on 10/28/04 .,b-person/employee o o o b-injury/burn o o b-body_part/leg/foot/right_foot i-body_part/leg/foot/right_foot o o o o o o o b-activity/walking o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/leg/foot o o o o o
36,train,"member was walking along number 14 belt and bent down to cross under a water line , slipped and fell on an old piece of conveyor belt , causing a laceration to his knee . he went to williamson memorial hospital emergency where he received stitches and a full release to return to work .",o o b-activity/walking o o o o o o o o o o o o o o o o o o o o o o b-equipment/mechanical_equipment/conveyor o o o o b-injury/laceration o o b-body_part/leg/knee o o o o o o o room o o o o o o o o o o o o o
37,train,employee was climbing into the cab of a flat bed truck his foot slipped off the step . employee slipped to ground landing on both feet . employee complained of in his lower back .,b-person/employee o o o o o o o o o when o b-body_part/leg/foot o o o o o b-person/employee o o o o o o o o b-person/employee o pain o o b-body_part/back/lower_back i-body_part/back/lower_back o
38,train,received a hearing loss diagnosis from workers compensation on 1/8/2014 . employee was diagnosed with hearing loss on 12/23/2013 . employee last worked on 4/30/2013 and is no longer with the company . accident date of 4/30/2013 is to accommodate online reporting per mine ( denver ) instructions .,o o o o o o o o o o o b-person/employee o o o o o o o o b-person/employee o o o o o o o o o o o o o o o o o o o o o o safety o o o o o
39,train,employee was walking when he stepped on a hose causing him to fall backwards . employee got up experiencing pain in his left knee . employee placed on restricted duty .,b-person/employee o b-activity/walking o o o o o o o o o b-accident_cause/fall o o b-person/employee o o o o o o b-body_part/leg/knee/left_knee i-body_part/leg/knee/left_knee o b-person/employee o o o o o
40,train,employee was operating a metabo grinder cutting paddles off of a drag chain in the fab shop area . the drag chain shifted on the table causing the blade on the metabo to bind and kickback . when the metabo kicked back it struck the top of the employees left hand . the blade cut through the employees glove and into his hand .,b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/back o o o o o o o b-body_part/arm/hand/left_hand i-body_part/arm/hand/left_hand o o o o o o o o o o o b-body_part/arm/hand o
41,train,while walking the associate stepped in the area where conveyor catwalk and the stairway to conveyor and the crusher platform meet . this is an area with a gap where two pieces of grip strut are side by side with one at a downward angle and the upward stairway . employee said that he apparently had stepped the area and heard his right knee pop .,o b-activity/walking o o o o o o o b-equipment/mechanical_equipment/conveyor o o o o o b-equipment/mechanical_equipment/conveyor o o b-equipment/mechanical_equipment/crusher o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o b-body_part/leg/knee/right_knee i-body_part/leg/knee/right_knee o o
42,train,"employee was installing a 6 ' resin bolt . the bolt started bending , so he started rotating the bolt as he pushed it up . the plate started spinning and struck him on the right  forearm .",b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o  o o
43,train,"743ht driver passed a blade , stayed near the windrow , saw the 716ht approaching , so stopped . 716ht driver thought there was room between the 743 and blade to continue , but grazed the rock deflectors . 743 stated he was fine , went to the emergency after shift , given a prescription muscle relaxer , off work until clears drug and alcohol test .",o b-person/driver o o o o o o o o o o o o o o o o o o b-person/driver o o o o o o o o o o o o o o o o o o o o o o o o o o o room o o o o o o b-injury/muscle o o o o o o o o o o o
44,train,"employee was putting the orifice plate back on pump using air impact . he was holding the nut with his left hand , activated air impact . the nut had a burr on it and when impact was activated the burr cut through employee's glove into the palm of hand causing laceration .",b-person/employee o o o o o b-body_part/back o b-equipment/mechanical_equipment/pump o o o o o o o o o o o b-body_part/arm/hand/left_hand i-body_part/arm/hand/left_hand o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/hand o b-injury/laceration o
45,train,stepped off terex truck -- landed on piece of shale and ankle popped out .,o o o o o o o o o o o b-body_part/leg/ankle o o o
46,train,employee was riding mantrip. dips in track. caused injury .,b-person/employee o o hit o o jarring o b-injury o
47,train,"employee was installing liners in a transfer chute , another person was handing him the plates from outside with restricted space and standing room . he twisted his back while handling a plate . employee was injured on 29th . he didn't go to doctor till 9/3/03 and put on restricted duty .",b-person/employee o o o o o o b-equipment/chute o o b-person o o o o o o o o o o o o o o o o o b-body_part/back o o o o o b-person/employee o o o o o o o o o o o o o o o o o o
48,train,"while employee was working in the maintenance shop , he went down to one knee , grasped a piece of steel  40 to 50 pounds in weight to lift it to a saw horse . in doing so , he felt a pinch in his groin . employee waived medical attention until the end of his shift two days later on december 29 , 2000 .",o b-person/employee o o o o o o o o o o o o b-body_part/leg/knee o o o o o approximately  o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/groin o b-person/employee o o o o o o o o o o o o o o o o o o
49,train,the employee was removing snow with the front end loader . the corner of the bucket caught a pot hole and jerked the cab of the loader to the right . operator hit his head on the side window of the cab and required 8 stitches to close the cut . operator was wearing his seatbelt at the time of the incident .,o b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-person/operator o o b-body_part/head o o o o o o o o o o o o o o o o b-person/operator o o o o o o o o o o o
50,train,shoulder strained while attempting to clear jam in cone . saw doctor on 4-7-03. limited lifting with left arm for 7 days .,b-body_part/arm/shoulder o o o o o o o o o o o o o o o o b-body_part/arm/left_arm i-body_part/arm/left_arm o o o o
51,train,a contractor was mounting a new steel chute on a conveyor head section . the chute was pried free and shot up in the air which pinched the contractors left hand . he had 3 stitches in one finger and 2 stitches on the in the other .,o b-person/contractor o o o o o b-equipment/chute o o b-equipment/mechanical_equipment/conveyor b-body_part/head o o o b-equipment/chute o o o o o o o o o o o o o b-body_part/arm/hand/left_hand i-body_part/arm/hand/left_hand o o o o o o o o o o o o o o o o o
52,train,"i was lifting a 60 lb . roller for a converger to get it out of way . i must of been twisting as lifting . back popped and i fell to the ground . could not get up for a couple minutes , but when i did get up , the pain was bad and i could not walk very well .",o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/back o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
53,train,"the employee experienced lower back pain in the performance of reg duties as a trackman medical records show a degenerative disc changes of the back at l3 , l4 and l5 employee did not start losing time until 10/20/00",o b-person/employee o b-body_part/back/lower_back i-body_part/back/lower_back o o o o o o o o o o o o o o o o o o o b-body_part/back o o o o o o b-person/employee o o o o o o o
54,train,employee stated that he was installing a roof bolt in uneven top and as he placed a half header between the half header on the roof bolt and the mine roof his middle on his right hand was caught  between the half header and the mine roof .,b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/hand/right_hand i-body_part/arm/hand/right_hand o o  o o o o o o o o o
55,train,employee was working on low head at wet grinding plant when he cut his right thumb above the last knuckle and below tip of thumb .,b-person/employee o o o o b-body_part/head o o o o o o o o b-body_part/arm/hand/thumb/right_thumb i-body_part/arm/hand/thumb/right_thumb o o o o o o o o b-body_part/arm/hand/thumb o
56,train,"employee was installing a new cutting edge on the motor grader . he and a coworker had the cutting edge suspended with a bar on each end , the edge slipped off employee's bar while changing hand positions and landed on his foot . the mow board was blocked .",b-person/employee o o o o o o o o o b-vehicle/heavy_vehicle/grader o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/hand o o o o o b-body_part/leg/foot o o o o o o o
57,train,"an unintentional roof fall has occurred at cross-cut 3 on the 8th 48 travelway , entry # 6. we are not cleaning this fall up , we stepped the travelway over . the area that fell was approximately 20 ' x 20 ' and was bolted with 72 '' tension rebar roof bolts . the affected area was re-supported with 84 '' bolts , brow bars , cribs , props and timbers .",o o o b-accident_cause/fall o o o o o o o o o o o o o o o o o o o b-accident_cause/fall o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
58,train,employee was lifting 100 lb bags and his right forearm started hurting . doctor said his muscle was turning because it is a new job .,b-person/employee o o o o o o o o o o o o o o o b-injury/muscle o o o o o o o o o
59,train,employee was setting the feeder when rock fell from the roof and hit his right hand .,b-person/employee o o o o o o o o o o o o o b-body_part/arm/hand/right_hand i-body_part/arm/hand/right_hand o
60,train,"employee pulled his truck forward from the primary dump hopper to clear rock from feeder . another employee saw him pull out and lost him in his mirror , assumed he turned right back into the pit and proceeded to back up to the hopper , when he struck the left front of employee's truck . employee was climbing down the ladder at the time , noticed the other employee backing up and jumped off out to the way .",b-person/employee o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o o o o o b-body_part/back o o o o o o b-body_part/back o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o o b-person/employee o o o o o o o o o o
61,train,while unloading a 50 pound bag of rockdust the employee felt pressure on the right side his abdomen which turned out to be a hernia . the employee had surgery to correct the hernia on 8-20-10. this did not become a lost time accident until 8-20-10 .,o o o o o o o o o b-person/employee o o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o o o o o o o o o
62,train,"employee dropped the boom so he could get gas hole steels out . when the boom dropped , it swung toward employee and caught his hand between the boom and the steels . the employee was transported to the emergency room and received three stitches .",b-person/employee o o o o o o o o o o o o o o o o o o o o b-person/employee o o o b-body_part/arm/hand o o o o o o o o b-person/employee o o o o o o o o o o o
63,train,"field service technician had air hose running from truck to excavator . when walking back to his truck , he tripped over air hose and caught himself on the excavator's track . this resulted in the technician fracturing his right wrist .",o o o o o o b-activity/running o o o b-vehicle/heavy_vehicle/excavator o o b-activity/walking b-body_part/back o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/wrist/right_wrist i-body_part/arm/wrist/right_wrist o
64,train,"an unintentional roof fall occurred in the number 3 entry near spad # 0271. there are no active faces in this mine , transfer of coal only . size of fall was approximately  40' x 20' x 8' . area will be breakered  off and timbered and will not be rehabilitated .",o o o b-accident_cause/fall o o o o o o o o o o o o o o o o o o o o o o o o o o b-accident_cause/fall o o  long o wide o high o o o o o  o o o o o o o o o
65,train,"employee was walking backwards carrying a small piece of steel plate . he tripped and fell backwards dropping the steel on his leg , bruising it . he was temporarily assigned to duties which did not require  extensive walking .",b-person/employee o b-activity/walking o o o o o o o o o o o o o o o o o o o b-body_part/leg o o o o o o o o o o o o o o  o b-activity/walking o
66,train,employee was greasing rollers on dragline with an air actuated grease gun . hose developed pin hole and grease filled his glove and ( left ) thumb because of extreme pressure . employee had surgery to remove grease from around bone . he is off work presently .,b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/hand/thumb o o o o o b-person/employee o o o o o o o o o o o o o o o
67,train,something fell into some dust around employee sending dust into the air . steel dust got into employee's eye . he was not wearing safety glasses . missed only 1 day as suggested by doctor .,o o o o o o b-person/employee o o o o o o o o o o o b-body_part/head/eye o o o o o o o o o o o o o o o o o
68,train,employee was fueling dozer at end of the day . he was walking backward and stepped on groove ( indentation ) left in ground from dozer tracks . he felt pain in his ankle . ankle began to swell .,b-person/employee o o b-vehicle/heavy_vehicle/dozer o o o o o o o o b-activity/walking o o o o o o o o o o o o b-vehicle/heavy_vehicle/dozer o o o o o o o b-body_part/leg/ankle o b-body_part/leg/ankle o o o o
69,train,"employee using 6 ' long bar to unlock and open railroad cars aggregate material . employee placed steel bar in doors lock to open door . employee did not immediately open door , but instead walked backwards with the backing train . employee had his right hand positioned over the flat end of the bar . the employee's right hand became wedged between the steel bars and an adjacent steel column .",b-person/employee o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o b-person/employee o o o o o o o o o o o o o o o b-person/employee o o b-body_part/arm/hand/right_hand i-body_part/arm/hand/right_hand o o o o o o o o o o o b-body_part/arm/hand/right_hand i-body_part/arm/hand/right_hand o o o o o o o o o o o o
70,train,employee was handling a piece of sheet metal when it slipped through his hands and lacerated left forearm .,b-person/employee o o o o o o o o o o o o o o o o o o
71,train,"operator let jack down on his foot , roofbolter stab jack",b-person/operator o o o o o b-body_part/leg/foot o o o o
72,train,"miner was dragging a razor blade knife cutting a belt , knife slipped and went into left leg about 5 inches above the knee and and cut leg . 10 stitches were incurred , back to work , no lost time .",o o o o o o o o o o o o o o o o b-body_part/leg/left_leg i-body_part/leg/left_leg o o o o o b-body_part/leg/knee o o o b-body_part/leg o o o o o o b-body_part/back o o o o o o o
73,train,"employee strained his left shoulder while working on the number 2 finish separator . employee initially declined medical attention , but when the shoulder pain did not go away he went to see his doctor . this injury became reportable on 11/10/2010 when the doctor diagnosed the injury as a torn rotator cuff . the employee was placed on restricted duty . no time lost to date .",b-person/employee o o b-body_part/arm/shoulder/left_shoulder i-body_part/arm/shoulder/left_shoulder o o o o o o o o o b-person/employee o o o o o o o o b-body_part/arm/shoulder o o o o o o o o o o o o o b-injury o o o o o o o o o b-injury o o o o o o o b-person/employee o o o o o o o o o o o o
74,train,"employee had just idled up the generator when he turned around and felt a sharp pain in his upper back . he did not fall , trip , or anything else he just turned around .",b-person/employee o o o o o o o o o o o o o o o o o b-body_part/back/upper_back i-body_part/back/upper_back o o o o b-accident_cause/fall o o o o o o o o o o o
75,train,"employee was bagging talc , the bag slipped as he reached for it , twisting his left wrist . he didn't tell us until 2-24-00. sent him to the doctor , the doctor put a wrist band on it and he returned  to work .",b-person/employee o o o o o o o o o o o o o o o b-body_part/arm/wrist/left_wrist i-body_part/arm/wrist/left_wrist o o o o o o o o o o o o o o o o o b-body_part/arm/wrist o o o o o o  o o o
76,train,employee put a metal bar against the a handrail and put the other end on a brace under the expanded metal . he put his hand on the handrail the metal slipped off the brace and the top of the bar smashed the employee right ring finger .,b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/hand o o o o o o o o o o o o o o o o o b-person/employee o o o o
77,train,a loose connection on a transformer caused a power failure to the plant air compressor which caused exhaust valves to close on the pyro main baghouse which allowed hot gases to reach the dryer feed belts and started a fire . the mobile fire dept was called and they put the fire out in less than an hour . valves will be installed to prevent future like incidents,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
78,train,unintentional roof fall occurred on the main north track at 20 cross-cut . the fall was 73 ' wide x 28 ' long x 8 ' high . into the cross-cuts . fall occurred due to the deterioration of the immediate roof .,o o b-accident_cause/fall o o o o o o o o o o o b-accident_cause/fall o o o o o o o o o o o o o o o o o b-accident_cause/fall o o o o o o o o o o
79,train,"employee walking north along the west side of the main building towards the maintenance shop . he reached the shop door and turned right through the open roll-up door . a genie aerial lift had been left parked just inside the doorway with the boom lowered . the employee struck the edge of the boom with the bridge of his nose . incident reported to the mine foreman , first aid was administered .",b-person/employee b-activity/walking o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-person/employee o o o o o o o o o o o b-body_part/head/nose o o o o o o o o o o o o o
80,train,"employee was beating on b-1 circulating valve with a maul attempting to open it . when he felt a pain in his left shoulder area . he was sent to river parishes hospital to be checked , and was advised that he had sprained his shoulder .",b-person/employee o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/shoulder/left_shoulder i-body_part/arm/shoulder/left_shoulder o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/shoulder o
81,train,conveyor had been knocked off stand by employee ; employee was resetting conveyor onto stand when chain slipped pinching 1st and 2nd fingers between conveyor and stand .,b-equipment/mechanical_equipment/conveyor o o o o o o b-person/employee o b-person/employee o o b-equipment/mechanical_equipment/conveyor o o o o o o o o o b-body_part/arm/hand/fingers o b-equipment/mechanical_equipment/conveyor o o o
82,train,"while cutting steel cable on ground , piece of cable came loose and struck employee on his lower lip . causing laceration to his lip .",o o o o o o o o o o o o o o b-person/employee o o o o o o b-injury/laceration o o o o
83,train,bad top was timbered off prior to rock fall 2 breaks inby spad number 687 .,o o o o o o o o b-accident_cause/fall o o o o o o o
84,train,employee tripped on water line falling and landing on left knee . he continued to work that shift on thursday  8-30-01` . pain and swelling persisted and he was taken to doctor who diagnosed with torn blood vessels and advised restricted duty until 9-6-01 .,b-person/employee o o o o o o o o b-body_part/leg/knee/left_knee i-body_part/leg/knee/left_knee o o o o o o o o o  o o o o o o o o o o o o o o o o o o o o o o o o o
85,train,"at 32 cross-cut  in return roof fell about 6' , 20' and 20' . no one was injured and no equipment was caught . moved stopping line over and breakered it off . we are not going to clean roof fall  up . ( air is traveling in right direction . )",o o o  o o o o o high o long o wide o o o o o o o b-equipment o o o o o o o o o o o o o o o o o o o b-accident_cause/fall  o o o o o o o o o o o
86,train,"while changing troughing rollers on a conveyor , employee reported a sudden onset of lower back pain that radiated down his right leg . he was evaluated by a physician and taken off of work .",o o o o o o b-equipment/mechanical_equipment/conveyor o b-person/employee o o o o o b-body_part/back/lower_back i-body_part/back/lower_back o o o o o b-body_part/leg/right_leg i-body_part/leg/right_leg o o o o o o o o o o o o o
87,train,employee was walking in storage yard when he stepped on soft material and twisted his left ankle .,b-person/employee o b-activity/walking o o o o o o o o o o o o b-body_part/leg/ankle/left_ankle i-body_part/leg/ankle/left_ankle o
