,binary_injury,NARRATIVE,split
117,high_injury,   sit john deere gator stop john deere gator contact rear stop vehicle employee stop vehicle contiue shift report incident 7:12 p.m. 5/13/2010 e.r treat release,train
118,high_injury,   ee state place steel band hammermill flight drop steel band ~15 pound band strike finger finger fracture,train
119,high_injury,   employee push timber location feel strain leave arm accident report employer 12/4/02,train
120,high_injury,   tighten bolt bohringer pull muscle,train
121,high_injury,   reach roof bolt machine co worker machine row installation victim foot tire machine run cause injury unsafe act safety awareness compliance training rule factor protective equip factor miner proficiency factor mining equip./system factor,train
122,high_injury,   ee walk plant begin shift step uneven catwalk w hich cause dinjury leave knee ee knee bend slightly,train
123,high_injury,   ee assist maintenance work help lift 80 pound valve lift task ee apparently strain elbow persistent pain ee medical evaluation 10/8/04 diagnose tendonitis elbow provide medication place restrictive duty,train
124,high_injury,   know exact cause accident ee work clinker stacker trailer belt conveyor 211 stair trailer slope ramp break pain ed bad ee history problem,train
125,high_injury,   employee state ride mantrip unit hit bump jar employee lower,train
126,high_injury,   injure clean belt structure 1 belt crosscut 1 gloved hand wipe dust glove get catch troughing roller belt    incident cause partial amputation ring finger right hand joint,train
127,high_injury,   employee help unload monorail box operator equipment fork employee foot,train
128,high_injury,   reoccurance old injury shoveling belt,train
129,high_injury,   remove wing bit cut edge rubber tire dozer ee cut right ring finger laceration require suture,train
130,high_injury,   employee work sump pump oxy acetylene torch cut bear    flash occur cause ball fire come ball fire cause multiple burn face neck right forearm near wrist,train
131,high_injury,   step ytruck stair twisted ankle,train
132,high_injury,   employee attempt install piece expand metal chute breaker create walkway metal slip attempt catch weight right foot cause injury,train
133,high_injury,   ee muck shaft mucker jump gear neutral strike haulage wall,train
134,high_injury,   ee stack flagstone ee unplug hopper loader fork 6 piece flagstone fly hit inj ee right center,train
135,high_injury,   miner cable roadway feel pain low,train
136,high_injury,   employee walk plant office plant mill building trip culvert storm water drain fall    employee sustain fracture right hip,train
137,high_injury,   perform p.m. rock breaker ee slip mud twist leave knee leg currently restrict duty,train
138,high_injury,   sunny dry area bit muddy windy ee believe bend reach bolt air air gun blow eye,train
139,high_injury,   piece metal project sledgehammer,train
140,high_injury,   employee split block sandstone 12 lb hammer stone chisel leave foot hold chisel position bench block stone strike chisel split stone inadvertantly miss chisel strike leave foot,train
141,high_injury,   check sump pump run i- beam jam neck     start miss work 02 12 08,train
142,high_injury,   ee operate roof bolter    hand get catch canopy come    simply hand wrong place wrong time know    mash thumb break    week,train
143,high_injury,   employee adjust fork champ lift truck large tank push leave fork leave hand fork freely lose grip catch leave index finger fork mast truck,train
144,high_injury,   piece draw rock fall right arm send hospital x ray 9/16/04 9/17/04 employee break sprain x ray,train
145,high_injury,   employee pinch right index finger removinga rock conveyor,train
146,high_injury,   injure walk 3100 wash bay step small stone twist foot,train
147,high_injury,   trim slope wall lump hard dirt come loose roll slope hit excavator bucket bursting piece ricochet cab windshield partially strike ope rator chest head result head chest area bruise,train
148,high_injury,"   ee tighten nut 4 pit truck tire change wrench slip nut cause ee lose balance slip 8""x8 board block",train
149,high_injury,   employee walk shop push wheelbarrow slip oil water floor land floor knee twist ee seek medical attention 5 30 02,train
150,high_injury,"   find rock jabko cable 4 belt 1 1/2 x cut outby 4160 x size 4 4 1/2 long 2 1/2'wide 5""thick taper 1 injure lift rock roll way break lifting end fal ling victim right foot",train
151,high_injury,   ee service haulage truck park pit ground snow ice cover walk truck ee slip fall ground land knee ee seek medical help work 1 10 01 diagnose injury start miss work,train
152,high_injury,   employee position 8 10 foot worker begin remove shroud dragline bucket hammer    impact shard metal shourd contact employee cut jean leave knee    feel burn sensation notice knee cut employee receive stitch leave knee,train
153,high_injury,   employee stair 620 sand screw plastic panel approx 20 lbs continue install panel feel pain low leg area,train
154,high_injury,   transfer handle 100 lb bag pallet pull muscle low,train
155,high_injury,   worker roof safety equipment windy condition worker fall roof approx 17 sustain break leg hip colar bone laceration,train
156,high_injury,   ee work diesel mantrip strain crawl,train
157,high_injury,   hook brake line brake valve lie platform shoulder arm machine pull brake line feel pain low,train
158,high_injury,   break finger mash 1st 2nd finger leave hand catch v belt pulley attempt replace belt,train
159,high_injury,   employee prepare vulcanize equipment lift twisting strain low right,train
160,high_injury,   employee step sharp piece metal cut foot medical treatment diabetic condition immediately return work routine exam early april employee inform infection foot employee file comp claim payment start 4/13/06 employee remain work,train
161,high_injury,   adjust bearing strain,train
162,high_injury,   workman stand 7 head drive pull motor lead lose footing fall h beam head drive strain right shoulder lower,train
163,high_injury,   ee position break piece cat 992 bell crank approx 200 lbs overhead hoist bell crank contact shop floor slack chain allow un hooked occur piece shift fall leave foot diagnose fracture leave great toe,train
164,high_injury,   employee pick belt roller strain note employee work 9/13/04 start miss work,train
165,high_injury,   employee walk hopper building trip scale try catch fall tear upper right bicep,train
166,high_injury,   ee(left handed)wa 4 lb hammer hand drive dump shaft mobile bridge(#3).the hammer glance shaft hit sprocket small piece metal sprocket fly right hand cause injury piece metal enter middle knuckle embe right hand puncture wound laceration cut vein hand,train
167,high_injury,   employee change battery 773 rock truck feel sharp pain low,train
168,high_injury,   slag car pull motor catch loopof high voltage cable cause fall employee,train
169,high_injury,   employee carry bear employee lose balance fall handrail feel pain,train
170,high_injury,   employee report 7/27/10 sustain injury bag product 7/19/10,train
171,high_injury,   employee bend pull bear housing hand cart feel pain low    employee doctor 1/23/2014 restrict duty release,train
172,high_injury,   miner crosscut step backwards hole twist right knee employee outpatient surgery 9/26/08 repair damage knee,train
173,high_injury,   scrape loose rock wall vibration loosen rock area rock fall hit rock track hoe bounce low windshield pin operator low leg seat frame break low right leg,train
174,high_injury,   employee process instal new 1 1/2 rock dust hose roofbolter state foot get tangle hose turn twist ankle,train
175,high_injury,   drive mantrip hit hole dhit head roof mantrip,train
176,high_injury,   piece drawrock fall bolt strike ee head right shoulder,train
177,high_injury,   cut edge loader 17 365 hold bolt hand impact wrench bolt bolt cut glove cut hand,train
178,high_injury,   employee pull tanker dome lid open pulled/ strain low restriction lose time accident,train
179,high_injury,   ee remove debris cement block building strain,train
180,high_injury,   employee originally step awkwardly dip ground 1/8/08 hurt right knee employee continue work state injure knee 2/16/09 continue work knee evidently worsen knee surgery 3/27/09 employee return work seat duty 4/15/09,train
181,high_injury,   walk step ee left foot get catch step result knee popping joint pop,train
182,high_injury,   injure build brattice 1 unit curtain flag hang curtain car driver ram car run curtain hit trailer block hit injure leave leg car driver sound horn flash light curtain,train
183,high_injury,   employee cut tree get lodge attempt tree break loose strike employee right shoulder cause fracture,train
184,high_injury,   work reset sump pumt injure slip turn wrong cause strain rib,train
185,high_injury,   employee state hang spool wire rope roof feel pop rt hip lower,train
186,high_injury,   employee hurry state start descend 2nd level microsizer deck decide track check loading amp microsizer employee turn step mis n egotiated step fall strike right knee expand metal,train
187,high_injury,   ee walk area spring leak hot ore walk hot material burn foot leaky cone valve roaster floor east roaster,train
188,high_injury,   employee operate end loader clear rock haul road    report brake end dump malfunction travel haul cause end dump hit loader    loader sustain moderate damage    loader operator soreness,train
189,high_injury,   clean windshield haul truck hold hand foot place lean foot slip truck ladder start fall leg get catch f rom step truck twist knee,train
190,high_injury,   employee twist ankle uneven floor surface dragline employee miss day work injury,train
191,high_injury,   driver lose control haul truck result tip accord driver wear seat belt state impact leave cab driver state pain leave leave low leave shoulder external bruise abrasion visible x ray ct scan internal injury,train
192,high_injury,   employee slip descend stair fall 3 step land asphalt,train
193,high_injury,   employee lift rock slip hurt low accident report state office employee,train
194,high_injury,   ee remove drive belt 6 roller mill fan motor sheave    pipe wrench turn motor sheave remove old drive belt turn sheave pipe wrench finger mash pipe wrench section guard fan drive,train
195,high_injury,   employee troubleshoot packing loading pumpman alarm panel panel locate electrical enclosure wall enclosure emplo yee hand knee perform job end job employee complain pain right knee reportable on9/10/01 start miss surgery,train
196,high_injury,   ee pull set battery lead battery,train
197,high_injury,   ee remove rock scrubber prybar feel pain leave neck leave numb waist,train
198,high_injury,   ee help place roller belt structure report lift roller trune place injure muscle,train
199,high_injury,   ee weld indide primary crusher slip twist right knee ee report injury nt want treatment 10/15/2004 ee decide treatment,train
200,high_injury,   bring screen chute shop repair chute shift forklift strike ee welding helmet shoulder knock ground unresponsive aprox 10 second ok 911 transport check suffer cervical hip rt shoulder strain,train
201,high_injury,   ee state walk steep grade 2 belt slip fall try catch,train
202,high_injury,   employee exit skid steer stand right tire step right foot leave foot get hang tire tread cause pain leave knee,train
203,high_injury,   employee step piece rock twist right knee,train
204,high_injury,   employee vacuum product bin raise head hit hard hat bin     employee feel strain neck    employee clinic return work employee return additional chiropractic treatment 8/2/10 return restrict hour,train
205,high_injury,   6/6/14 employee return work right shoulder injury occur 5/2/14 employee state attempt hang ventilation tube tee loose coal stand shift lose balance strain shoulder,train
206,high_injury,   ee trim wire pocket knife knife slip wire lacerate ee leave hand,train
207,high_injury,   ee hand begin break rash handle material coat stearic acid place restrict duty 1/25/05 dr visit ee notify management second hand begin break,train
208,high_injury,   employee attempt mount ladder cat 740b haul truck    right hand grab hold rail grease    shift weight ladder hand slip fall ladder weight come leave foot ankle,train
209,high_injury,   employee hold 5 point safety card hand glass    glass poke eye 5 point card    er diagnose corneal abrasion prescription eye drop release sedentary duty day,train
210,high_injury,   ee miner ramcar feel hit eye come safety glass,train
211,high_injury,   employee state remove bad thermocouple hot material exit hole strike face cause 1st 2nd degree burn ear eye head,train
212,high_injury,   employee lunch break work cont miner helper operator machine face area ee connect cable strap tail hook hurridly step miner foot catch cable cause twist knee think ok mri indicate torn meniscus notify 9/6/07,train
213,high_injury,   work continuous miner helper $ unit walk section step piece rock fall floor twist knee report possible sprain knee continue experience pain early dec 2008 seek medical treatment diagnose tear meniscus surgery 12/15/08,train
214,high_injury,   rock fall pit wall break windshield 988b loader operator sustain right forearm laceration,train
215,high_injury,   lift form concrete,train
216,high_injury,   drill steel raise roof pan canopy roof bolter catch finger pan steel low canopy push control lever wrong direction cause f inger canopy roof possible amputation skin graft,train
217,high_injury,   employee dismantle scaffold remove section plank leave hand support right plank twist leave hand come free transfer twist motion right elbow consider injury time condition bad nd physician 2 5 02 result restrict duty,train
218,high_injury,   ee bolt miner attempt insert drill steel chuck raise drill head steel catch roof bent catch l. little finger drill steel bolter mast,train
219,high_injury,   employee strike right hand pinky finger dispose old cable floater,train
220,high_injury,   task train volvo a40 ie jar sit buddy seat lack seat suspension    diagnose low lumbar strain,train
221,high_injury,   lift scoop extension strain    continue work 08/03/2011 lose time begin,train
222,high_injury,   employee come shop area ask help feel light head chest pain feel numbness arm,train
223,high_injury,"   roof bolting draw rock 1 1/2 x 2 round x 1""-3 thick fall strike employee neck low",train
224,high_injury,   employee dump trash self dump steel forklift hopper release lock lever hopper bounce smash finger,train
225,high_injury,   ee process work steering rock truck involve ee climb engine ee lose foot fall engine frame truck preliminary diagnosis twist leave knee suspect ligament damage,train
226,high_injury,   pull belt slip fall,train
227,high_injury,   employee fall ladder hang curtain,train
228,high_injury,   worker walk slick surface slip sraine,train
229,high_injury,   ee cut metal band bundle roof bolt band flip leave eye surgery remove piece metal eye start miss work 3/5/09,train
230,high_injury,   ee check pump notice pump ee shut pump ready prime hose come pump spray ee hot water face neck arm ee transport er work,train
231,high_injury,   crush finger kiln-2 coal merrick level air lance,train
232,high_injury,   employee hold grate clay grate employee 2 lb hammer employee miss mark hit ee right thumb hammer,train
233,high_injury,   roadway past cowl barn employee drive mantrip cross belt fall bolt strike employee leave forearm piece rock approximately 19 x 19 x 2 1/2 thick cause severe hematoma possible injury leave upper arm shoulder,train
234,high_injury,   ee remove couple guard feel pain low ee doctor come restriction send therapy 9/9/2014 doctor restrictive duty,train
235,high_injury,   employee chip hammer clean screw conveyor    work overhead slip loose material cause twist sprain low,train
236,high_injury,   employee hold nut washer place cut edge 27 rubber tire    employee accidently hit trigger impact gun smash point finger middle finger leave hand,train
237,high_injury,   employee stack block overcast wing wall collapse cause employee fall foot belt entry reportable lose time injury 01/18/07,train
238,high_injury,   lift jackhammer feel sharp pain leave testicle short break work feel discomfort abdominal area,train
239,high_injury,"   employee kneale spare piece rubber belt set cut 4""x 5 piece utility razor knife knife clear rubber stab right leg knee cap cause lacertation emp company doctor recieve 4 stitch place restrict duty",train
240,high_injury,   employee state hit head walk curtain employee doctor care non work relate neck injury operator believe event cause injury report file abate citation 6667465,train
241,high_injury,   ee jump start water pump cable slide backhoe tire cable rear tire end wrap leave leg,train
242,high_injury,   ee report drive lime spreader truck begin hurt drive rough terrain ee treat low strain local medical clinic return work restriction,train
243,high_injury,   ee hose floor 12 mill sump slurry drip ee safety glass start irritated eye,train
244,high_injury,   pull 36 conveyor belt place ee strain abdominal wall,train
245,high_injury,   bend pick fire extinguisher slip oil allege lose time accident investigate,train
246,high_injury,   employee slip walk vehicle park small fleet vehicle area,train
247,high_injury,   ee slip forward hold rail motor coupling strain low    ee start miss work 9/8/04,train
248,high_injury,   remove boom pin shovel    forklift straighten boom    come tension pin straight    boom straighten pin come strike mechanic foot cause break tibia,train
249,high_injury,   employee break right hand remove rock plug impact crusher    employee 1/4 diameter chain pull rock impact    rock impactor employee position right hand chain guide final placement    chain slip fall 6 inch cause injury right hand      injury restrict duty,train
250,high_injury,   ee try staircase wabco truck ground 1 6 04 feel sharp pain low,train
251,high_injury,   ee fuse plastic poly pip try align 8 pipe fusing machine bend try lift fuse machine pull,train
252,high_injury,   employee drill hole die grinder piece metal fly right eye,train
253,high_injury,"   cut tailgate cross 773 174 shile small piece rock 4""x3""x6""0 fall shield strike ee head area",train
254,high_injury,   work rear end buggy step buggy fall right foot,train
255,high_injury,   employee walk step east finish room apron conveyor step clinker slip fall break right ankle,train
256,high_injury,   ee s foot get catch chain step end dump truck,train
257,high_injury,   ee attempt pallet hadcome sideways conveyor stand conveyor employee floor level pry bar employee th e conveyor flag photo eye free pallet conveyor start automatically pull foot 3/4 open betweenthe conveyor roller,train
258,high_injury,   employee pry frozen material feed hopper section come loose employee fall catch hurt,train
259,high_injury,   ee ready boat dredge ee lift push boat bank feel pull,train
260,high_injury,   walk corporate office dumpster shard glass fall garbage bag strike employee leave low leg calf cause laceration require 25 stiche close,train
261,high_injury,   tighten head kelly bar drill wrench wrench slip employee akwardly feel pain low,train
262,high_injury,   perform normal work duty employee experience pain burn groin area transport hospital diagnose hernia,train
263,high_injury,   waterline pcs come cut finger,train
264,high_injury,   employee cut leave thumb utility knife 2 suture require,train
265,high_injury,   worker drop crusher hand cut 3 finger possibly break finger,train
266,high_injury,   employee lift tug pull 6 water line try connect dresser sleeve strain low rupture disc,train
267,high_injury,   walk beltline step water line step straddle watch line pull muscle,train
268,high_injury,   employee lift 20 lb steel access door chute feel sharp pain low -injury work restriction 12/6/09 unable accommodate restriction work injury,train
269,high_injury,   ee clean cool pit lift ramp wheel barrel set dump feel pull groin area ramp weigh approx 30 lbs,train
270,high_injury,   plant repair ee walk maintenance truck heslippe wet sludge concrete pavement try catch left leg strain leave knee,train
271,high_injury,   employee foot run shotcrete shooter cause fracture bone right foot,train
272,high_injury,   victim stick hand confine area release chain hang motor frame operator end loader sudden signal time ope rator sudden chain tight pinch end finger,train
273,high_injury,   rock fall face hit ee foot load round,train
274,high_injury,   flip rock land finger,train
275,high_injury,   injre ee work crane manbasket repair flange water cool loop ask partner hand bolt flange partner reach h lean acid line cause start leak nipple flow meter mechanic try shut acid valve cause nippl,train
276,high_injury,   instal roof bolt bolt wrench break strike operater face cut lip break 2 tooth,train
277,high_injury,   employee unplug reject chute steel bar material break loose cause lose balance fall approximately 6 foot fracture right ankle,train
278,high_injury,   hook chain lift generator ready lift generator employee finger get catch chain,train
279,high_injury,   employee exit bus begin shift lose footing fall strike right date incident 09/01/07 individual work release    determine reportable incident 11/12/07,train
280,high_injury,   employee climb scaffold ladder misjudge scaffold deck fall rung hit right scaffold midrail,train
281,high_injury,   brick kiln bend old injury 1 11 96,train
282,high_injury,   employee state begin hurt apparent reason work pump 1 feed begin miss work 7 28 01,train
283,high_injury,   ee suffer bruise left hand attempt remove ice frame conveyor,train
284,high_injury,   sort boulder cought leave little finger rock,train
285,high_injury,   ee climb wall screen structure hard hat shift climb hit head counter weight guard screen cut head,train
